news,sentiment,positive,neutral,negative
"Microsoft&#39;s new Surface Pro 8 is a pretty solid 2-in-1, like it or not. It brings some welcome improvements without shaking up the formula.",positive,0.97,0.02,0.01
"In reality, Microsoft was willing to play along with many of Apple’s demands — and it even offered to bring triple-A, Xbox-exclusive games to iPhone to help sweeten the deal. That’s according to a new set of private emails that The Verge unearthed in the aftermath of the Epic v.",mixed,0.42,0.14,0.44
"New data, new problems, new solutions. What you need to know Microsoft and the Ponemon Institute teamed up to gather cybersecurity-focused Enterprise data, which has been compiled into the 2021 release of the State of IoT and OT Cybersecurity in the Enterprise report.",neutral,0.06,0.74,0.2
Internal Microsoft emails show how the company was considering bringing Xbox-exclusive games to the iPhone as standalone apps in the Apple App Store for a while.,neutral,0.0,0.99,0.01
"Microsoft and the Ponemon Institute teamed up to gather cybersecurity-focused Enterprise data, which has been compiled into the 2021 release of the State of IoT and OT Cybersecurity in the Enterprise report.",neutral,0.0,0.99,0.01
"Use software for supporting rather than surveilling your staff, and you can get them up to speed faster—and make more sense of how Microsoft Viva is different from Teams.",positive,0.81,0.16,0.03
"For some people, using the unloved Microsoft Teams app is a minor and irksome inconvenience during the workday, but for some unfortunate Android users it | Trusted Reviews",negative,0.0,0.0,1.0
Microsoft Ireland has found that nearly half of Irish organisations don&#39;t have the right digital services to handle new working realities.,positive,0.74,0.18,0.08
"When Microsoft was in discussions with Apple about bringing its xCloud platform to the iPhone, Microsoft attempted to sweet talk Apple into",neutral,0.07,0.61,0.32
The software giant is offering people who are using a pirated copy of Office a 50% discount on a Microsoft 365 subscription.,negative,0.0,0.09,0.91
