Original,Detected language,Detected language score,Translation,PostID
What if you could use #AI to solve some of the biggest challenges formed by natural disasters? What would you do? When he realized infrastructure improvement could be a key component to defend against disasters  he knew that AI technology could help. Meet Anshu Sharma in the newest #HumansandAI episode and learn how he uses #MicrosoftAI to help communities prepare for natural disasters http://msft.it/6186khClM #AIForGood,en,1.0,What if you could use #AI to solve some of the biggest challenges formed by natural disasters? What would you do? When he realized infrastructure improvement could be a key component to defend against disasters  he knew that AI technology could help. Meet Anshu Sharma in the newest #HumansandAI episode and learn how he uses #MicrosoftAI to help communities prepare for natural disasters http://msft.it/6186khClM #AIForGood,10158815887808721
"Organizations that ship direct-to-consumer need simple solutions to have end-to-end visibility into their supply chains. Dynamics 365 allows them to simplify the complexity of managing numerous orders  fulfilment  and inventory sources.
Learn more:",en,1.0,"Organizations that ship direct-to-consumer need simple solutions to have end-to-end visibility into their supply chains. Dynamics 365 allows them to simplify the complexity of managing numerous orders  fulfilment  and inventory sources.
Learn more:",6532778056796601
Microsoft is using the power of AI to help preserve the heritage of Ancient Olympia for future generations. Discover the Common Grounds  a new collaboration between Microsoft and the Hellenic Ministry of Culture and Sports. ➡ http://msft.it/6188kANRa,en,1.0,Microsoft is using the power of AI to help preserve the heritage of Ancient Olympia for future generations. Discover the Common Grounds  a new collaboration between Microsoft and the Hellenic Ministry of Culture and Sports. ➡ http://msft.it/6188kANRa,6527311950676545
"For years  passwords have been the most important layer of digital security and also the prime target for attacks.
Read the article and discover how Microsoft is leading the way to a passwordless future ➡ http://msft.it/6183k4hgt",en,1.0,"For years  passwords have been the most important layer of digital security and also the prime target for attacks.
Read the article and discover how Microsoft is leading the way to a passwordless future ➡ http://msft.it/6183k4hgt",6521328511274889
"Greek company Kaizen Gaming wanted to improve the player experience by making the most of technology - especially machine learning capabilities.
Discover how they managed to provide a more personalized experience through our Azure technology ➡ http://msft.it/6185kFLIN
#DigitalHotspotCEE",en,1.0,"Greek company Kaizen Gaming wanted to improve the player experience by making the most of technology - especially machine learning capabilities.
Discover how they managed to provide a more personalized experience through our Azure technology ➡ http://msft.it/6185kFLIN
#DigitalHotspotCEE",6504583326282741
"“Fighting for rights in the post-COVID era” is this year’s International Day of People with Disabilities theme.
To close the disability divide  much more is needed  but we are proud of the progress.
#IDPD #Accessibility #Inclusion",en,1.0,"“Fighting for rights in the post-COVID era” is this year’s International Day of People with Disabilities theme.
To close the disability divide  much more is needed  but we are proud of the progress.
#IDPD #Accessibility #Inclusion",6503449389729468
Following a recent update  the Translator feature of Azure made information accessible to 5.66 billion more people worldwide. Read the full story and discover how the new languages and dialects are taking the Translator over the 100-language milestone:,en,1.0,Following a recent update  the Translator feature of Azure made information accessible to 5.66 billion more people worldwide. Read the full story and discover how the new languages and dialects are taking the Translator over the 100-language milestone:,6459631764111231
"When Satya Nadella became CEO  he wanted to explore the idea of gathering cultural insights directly from his extended teams. This is how the Microsoft Garage program was created.
Discover how Microsoft is hacking the creative culture:",en,1.0,"When Satya Nadella became CEO  he wanted to explore the idea of gathering cultural insights directly from his extended teams. This is how the Microsoft Garage program was created.
Discover how Microsoft is hacking the creative culture:",6459601414114266
"What if we could take the plastic out of the ocean and create electronic products from it?
This question led us  as Microsoft  to the idea of computer peripherals made out of recycled plastic.
Meet the Ocean Plastic Mouse:",en,1.0,"What if we could take the plastic out of the ocean and create electronic products from it?
This question led us  as Microsoft  to the idea of computer peripherals made out of recycled plastic.
Meet the Ocean Plastic Mouse:",6459492910791783
"Many countries look to Estonia as a role model for how digitization enables tangible benefits for people  and wonder how it is possible.
Learn more about how digitization can simplify peoples’ daily lives.
#DigitalHotspotCEE",en,1.0,"Many countries look to Estonia as a role model for how digitization enables tangible benefits for people  and wonder how it is possible.
Learn more about how digitization can simplify peoples’ daily lives.
#DigitalHotspotCEE",6458565260884548
