Original,Detected language,Detected language score,Translation,CommentID,PostID
Tak pomagacie ludziom,pl,1.0,This is how you help people,1886196431567680,1883106995209957
Zgadzam się że jest motorem napędowym postępu gospodarczo-społecznego  jednak nie jest taka prosta do przeprowadzenia. W Polsce w firmach brakuje często kompetentnych w tym temacie pracowników  a szefostwo czasami nie wie jak to ugryźć itd. Dobrze że powstają takie inicjatywy jak platforma przemysłu przyszłości  gdzie można czerpać wiedzę wprost od ekspertów z branży w zakresie cyfryzacji przemysłu.,pl,1.0,"I agree that it is the driving force behind economic and social progress, but it is not so easy to carry out. In Poland, companies often lack competent employees in this subject and the management sometimes does not know how to bite it, etc. It is good that initiatives such as the industry platform of the future are being created, where you can draw knowledge directly from industry experts in the field of digitization of industry.",1886620114858645,1883106995209957
Na chmurę przystanek nie potrzebny,pl,1.0,No stop needed for the cloud,1882711781916145,1882395381947785
To jest chore. Padlem ofiara kradziezy z waszego konta a z wami nie ma sie jak skontaktowac,pl,1.0,It's sick. I fell victim stealing from your account and with you there is no way to contact,1881673965353260,1881046582082665
Jerzy Ziemniak,pl,1.0,Jerzy Ziemniak,1886196548234335,1881046582082665
Kochana,pl,1.0,Loved,1873975432789780,1873196659534324
W jaki sposób można się skontaktować z obsługą techniczną Microsoft? Wysłałem do Was wiadomość w zeszłym tygodniu opisując swój problem. Zostałem zapytany o kilka dodatkowych informacji więc na nie odpowiedziałem ale od 4 dni zero odezwu. Linie telefoniczne odsyłają do internetu  w którym nie ma żadnej odpowiedzi na mój problem. Czy jest szansa  że uzyskam jakąś odpowiedź  czy mam zwrócić się o pomoc do Rzecznika Praw Konsumentów?,pl,1.0,How do I contact Microsoft Support? I sent you a message last week describing my problem. I was asked for some additional information so I answered it but from 4 days zero response. Phone lines refer to the Internet where there is no answer to my problem. Is there a chance that I will get an answer or should I ask the Consumer Ombudsman for help?,1861186994068624,1860288384158485
@Proszę o pomoc w powrocie do zdrowia  bliższe info na stronie:https://www.fundacjaavalon.pl/nasi_beneficjenci/pawel_chrostek_404.htmlLiczę na każdy 1% podatku co roku ??Jest znowu pomoc w postaci sms`aSms na numer: 75 165 o treści: POMOC 404Wysyłając tego sms`a dostaje na konto 5 zł @@Program do rozliczania Pitów:https://www.e-pity.pl/pity-2018/sub/program-online-epity-2019-KRS-0000270809-\-\404Pomóc również można mi po przez zakup twórczości mojej Mamy na aukcji allegro:https://allegro.pl/charytatywni/fundacja-avalon-bezposrednia-pomoc-niepelnosprawnym/cele/pomoc-dla-pawla-chrostka-subkonto-404-1https://www.art-malarstwo.pl/Za wszelką pomoc bardzo dziękuję.,pl,0.97,@Proszę for help in recovery closer info at:https://www.fundacjaavalon.pl/nasi_beneficjenci/pawel_chrostek_404.htmlI count on every 1% tax every year ?? There is again help in the form of a text messageSms to the number: 75 165 with the content: HELP 404Sending this sms gets to the account 5 zł @@Program to settle Pits:https://www.e-pity.pl/pity-2018/sub/program-online-epity-2019-KRS-0000270809-\-\404 You can also help me by buying my mother's work at the auction allegro:https://allegro.pl/charytatywni/fundacja-avalon-bezposrednia-pomoc-niepelnosprawnym/cele/pomoc-dla-pawla-chrostka-subkonto-404-1https://www.art-malarstwo.pl/Za any help very very Thank you.,1864088880445102,1860288384158485
😕szkoda że firma Microsoft Polska nie odpowiada na korespondencję ..... nie ma chyba tez adresu email ????,pl,1.0,😕as a damage that Microsoft Australia does not respond to correspondence ..... there is probably no e-mail address ????,1860094747511182,1853489981504992
Mam od kilku dni w ramach Windows Insider. Zaskoczyło mnie menu start  które nic nie wnosi  a raczej sprawia wrażenie gorszego. Przesunięcie ikonek na środek paska zadań też nic nie wnosi. Jedynie panel sterowania jest bardziej przejrzysty i funkcjonalny. Nie widzę żadnego sensu w przechodzeniu do tego systemu bo nic nie wnosi.,pl,1.0,I've had a few days as part of Windows Insider. I was surprised by the start menu which does not contribute anything but rather gives the impression of being worse. Moving the icons to the center of the taskbar also does not bring anything. Only the control panel is clearer and more functional. I don't see any point in going to this system because it doesn't contribute anything.,1848489218671735,1848477828672874
